midi number,strings,string 0,string 1,string 2
9,1,25.9,440,440
10,1,27.2,440,440
11,1,29.6,440,440
12,1,31.6,440,440
13,1,33.2,440,440
14,1,35.3,440,440
15,1,36.1,440,440
16,1,38.6,440,440
17,1,42.2,440,440
18,1,44.3,440,440
19,1,45,440,440
20,1,51.7,440,440
21,1,54.7,440,440
22,2,56.7,56.1,440
23,2,60.6,60,440
24,2,64,64.5,440
25,2,67.8,68.2,440
26,2,71.6,72.2,440
27,2,75.8,76.4,440
28,2,80.5,79.8,440
29,2,85,85.6,440
30,2,90.4,91.1,440
31,2,95.6,96.2,440
32,2,101.5,100.6,440
33,2,107.6,106.4,440
34,2,113.7,112.6,440
35,2,120.6,119.3,440
36,2,127.7,128.6,440
37,2,136,136.8,440
38,2,144.1,145.1,440
39,3,149.5,147.8,151.1
40,3,160,158.3,157.9
41,3,170.2,171.3,168
42,3,177.8,175.8,179.8
43,3,190.4,188.4,187.9
44,3,200.8,198.8,203.1
45,3,213.3,215.1,215.2
46,3,227.5,225.1,229.5
47,3,240,237.4,242.2
48,3,252.6,254.4,249.5
49,3,271.3,273.5,267.9
50,3,282.3,284.4,278.4
51,3,298.1,300.2,301.2
52,3,313.7,316.2,317.2
53,3,342.9,345.8,346
54,3,360.9,357.4,356.5
55,3,381,377.4,385.3
56,3,400,396.3,394.3
57,3,422.9,426.1,417.8
58,3,450.7,446.2,454.7
59,3,480,483.5,485.1
60,3,505.3,508.4,510.1
61,3,530.5,525.3,510.2
62,3,551.7,555.8,544.8
63,3,600,604.9,606
64,3,635.2,639.7,641.2
65,3,671.2,675.6,677.9
66,3,705.8,698.4,696.5
67,3,755.9,760.7,747
68,3,800,792.9,790.3
69,3,847.1,853.4,856.5
70,3,905.7,897.8,914.5
71,3,947.4,955.4,934.4
72,3,1021.2,1011.9,1030.4
73,3,1066.8,1055.7,1077.9
74,3,1133.9,1140.6,1143.8
75,3,1200,1210.4,1186.2
76,3,1288.6,1299,1273
77,3,1361.7,1372.2,1343.5
78,3,1454.6,1466.3,1437.5
79,3,1536,1547.7,1516.3
80,3,1590.5,1575.4,1605.9
81,3,1690.3,1675.7,1667.7
82,3,1802.7,1817.3,1820
83,3,1913.5,1893,1886.7
84,3,2009.1,1990.4,1983.6
85,3,2152.6,2170.6,2122
86,3,2288.2,2266.1,2258.9
87,3,2428.8,2407.1,2394.8
88,3,2541.8,2561.6,2571.2
89,3,2733.1,2706.6,2696.7
90,3,2868.1,2837.3,2829
91,3,3062.9,3028.7,3022
92,3,3259.6,3223,3216.8
93,3,3454.1,3474.1,3490.6
